Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Pause,die,-n,noun,break/pause,বিরতি,,,Machen wir eine kurze Pause.,,
Pech,das,-,noun,bad luck,দুর্ভাগ্য/অশুভ,,,So ein Pech! Der Zug ist weg.,,
peinlich,,,adj,embarrassing,বিব্রতকর/লজ্জাজনক,,,Das war mir sehr peinlich.,,
Pension,die,-en,noun,guest house/pension,গেস্ট হাউস/পেনশন,,,Wir übernachten in einer Pension am See.,,
per,,,preposition,via/by,দ্বারা/মাধ্যমে,,,Ich sende die Rechnung per E-Mail.,,
perfekt,,,adj,perfect,নিখুঁত/পারফেক্ট,,,Deine Aussprache ist perfekt.,,
Perron,der/das,-s,noun,platform (CH),প্ল্যাটফর্ম,,,Der Zug fährt ab Perron drei.,,
Person,die,-en,noun,person,ব্যক্তি/লোক,,,Im Raum sind fünf Personen.,,
persönlich,,,adj,personal/personally,ব্যক্তিগতভাবে,,,Ich möchte ihn persönlich kennenlernen.,,
Personalien,die,-,noun,personal details,ব্যক্তিগত তথ্য,,,Bitte geben Sie Ihre Personalien an.,,
Personenstand,der,-,noun,marital status (CH),বৈবাহিক অবস্থা,,,Der Personenstand ist im Ausweis vermerkt.,,
Personal,das,-,noun,staff/personnel,কর্মচারী/স্টাফ,,,Das Personal in diesem Hotel ist sehr freundlich.,,
Pfanne,die,-n,noun,pan/frying pan,প্যান/কড়াই,,,Die Pfanne ist heiss.,,
Pfeffer,der,-,noun,pepper (spice),গোলমরিচ,,,Bitte geben Sie mir Salz und Pfeffer.,,
pflanzen,,,verb,to plant,রোপণ করা/পুঁতে ফেলা,gepflanzt,hat,Wir pflanzen einen Baum im Garten.,,
Pflanze,die,-n,noun,plant,উদ্ভিদ/গাছ,,,Diese Pflanze braucht viel Wasser.,,
Pflaster,das,-,noun,band-aid/plaster,প্লাস্টার/ব্যান্ড-এইড,,,Hast du ein Pflaster für meinen Finger?,,
Pflaume,die,-n,noun,plum,আলুবোখারা/বরই,,,Die Pflaumen sind schon reif.,,
pflegen,,,verb,to care for/nurse,যত্ন নেওয়া/সেবা করা,gepflegt,hat,Sie pflegt ihre kranke Mutter.,,
Pfleger/Pflegerin,der/die,-,noun,nurse/carer,নার্স/সেবক,,,Der Pfleger hilft den Patienten.,,
Pflicht,die,-en,noun,duty/obligation,কর্তব্য/দায়িত্ব,,,"Es ist meine Pflicht, dir zu helfen.",,
Fantasie,die,-n,noun,imagination/fantasy,কল্পনা,,,Kinder haben viel Fantasie.,,
Picknick,das,-s,noun,picnic,পিকনিক,,,Bei schönem Wetter machen wir ein Picknick.,,
Pille,die,-n,noun,pill,বড়ি/পিল,,,Der Arzt hat mir eine Pille verschrieben.,,
Pilz,der,-e,noun,mushroom,মাশরুম/ছত্রাক,,,Im Wald gibt es viele Pilze.,,
Pizza,die,-n,noun,pizza,পিৎজা,,,Wir bestellen heute Abend eine Pizza.,,
Plakat,das,-e,noun,poster,পোস্টার,,,Das Plakat hängt an der Wand.,,
planen,,,verb,to plan,পরিকল্পনা করা,geplant,hat,Wir planen einen Urlaub in Italien.,,
Plan,der,¨-e,noun,plan/map,পরিকল্পনা/মানচিত্র,,,Hast du einen Plan für morgen?,,
Planung,die,-en,noun,planning,পরিকল্পনা/আয়োজন,,,Die Planung des Projekts dauert lange.,,
Plastik,das,-,noun,plastic,প্লাস্টিক,,,Plastik ist schlecht für die Umwelt.,,
Platz,der,¨-e,noun,place/seat/space/square,স্থান/আসন/চত্বর,,,Ist dieser Platz noch frei?,,
plötzlich,,,adv,suddenly,হঠাৎ,,,Plötzlich begann es zu regnen.,,
Politik,die,-,noun,politics/policy,রাজনীতি/নীতি,,,Sie interessiert sich für Politik.,,
Politiker/Politikerin,der/die,-,noun,politician,রাজনীতিবিদ,,,Der Politiker hält eine Rede.,,
politisch,,,adj,political,রাজনৈতিক,,,Das ist eine politische Entscheidung.,,
Polizei,die,-,noun,police,পুলিশ,,,Die Polizei hat den Täter gefasst.,,
Polizist/Polizistin,der/die,-,noun,police officer,পুলিশ অফিসার,,,Der Polizist regelt den Verkehr.,,
Pommes frites,die,-,noun,French fries,ফ্রেঞ্চ ফ্রাই,,,Ich möchte Pommes frites mit Ketchup.,,
populär,,,adj,populär,জনপ্রিয়,,,Dieses Lied ist sehr populär.,,
Portemonnaie,das,-s,noun,wallet/purse,মানিব্যাগ,,,Ich habe mein Portemonnaie verloren.,,
Portion,die,-en,noun,portion/serving,পরিবেশন/অংশ,,,"Eine Portion Pommes, bitte.",,
positiv,,,adj,positive,ইতিবাচক/পজিটিভ,,,Der Test war positiv.,,
Post,die,-,noun,post office/mail,ডাকঘর/ডাক,,,Ich gehe zur Post und schicke einen Brief.,,
Postleitzahl,die,-en,noun,postal code,পোস্টাল কোড/ডাক কোড,,,Wie ist die Postleitzahl von Berlin?,,
Pöstler/Pöstlerin,der/die,-,noun,mail carrier (CH),ডাকপিয়ন (সুইস),,,Der Pöstler bringt jeden Tag die Post.,,
Poulet,das,-s,noun,chicken (CH),মুরগি (সুইস),,,In der Schweiz isst man gern Poulet.,,
Praktikum,das,Praktika,noun,internship,ইন্টার্নশিপ,,,Ich mache ein Praktikum bei einer Firma.,,
Praktikant/Praktikantin,der/die,-,noun,intern/trainee,ইন্টার্ন/প্রশিক্ষণার্থী,,,Der Praktikant lernt viel im Betrieb.,,
praktisch,,,adj,practical/practically,ব্যবহারিক/প্রায়োগিক,,,Dieses Werkzeug ist sehr praktisch.,,
präsentieren,,,verb,to present,উপস্থাপন করা,präsentiert,hat,Er präsentiert sein Projekt vor der Klasse.,,
Präsentation,die,-en,noun,presentation,উপস্থাপনা,,,Die Präsentation war sehr interessant.,,
Praxis,die,Praxen,noun,practice/doctor's office,প্র্যাকটিস/ডাক্তারের চেম্বার,,,Die Praxis hat von 8 bis 12 Uhr geöffnet.,,
Preis,der,-e,noun,price/prize,মূল্য/পুরস্কার,,,Der Preis für dieses Buch ist zu hoch.,,
preiswert,,,adj,inexpensive/good value,সস্তা/মূল্যবান,,,Dieses Restaurant ist preiswert.,,
Presse,die,-,noun,press/media,প্রেস/সংবাদমাধ্যম,,,Die Presse berichtet über das Ereignis.,,
prima,,,adj,great/fine,চমৎকার/দারুণ,,,Das war eine prima Idee.,,
privat,,,adj,private,ব্যক্তিগত/প্রাইভেট,,,Das ist meine private Meinung.,,
pro,,,preposition,per,প্রতি,,,Der Eintritt kostet zehn Euro pro Person.,,
probieren,,,verb,to try/taste,চেষ্টা করা/স্বাদ নেওয়া,probiert,hat,Möchtest du den Kuchen probieren?,,
Problem,das,-e,noun,problem,সমস্যা,,,Ich habe ein Problem mit dem Computer.,,
produzieren,,,verb,to produce,উত্পাদন করা,produziert,hat,Die Firma produziert hochwertige Möbel.,,
Produkt,das,-e,noun,product,পণ্য/উত্পাদিত দ্রব্য,,,Dieses Produkt ist aus Deutschland.,,
Produktion,die,-en,noun,production,উত্পাদন/প্রযোজনা,,,Die Produktion wurde eingestellt.,,
Professor/Professorin,der/die,-,noun,professor,অধ্যাপক,,,Der Professor hält eine Vorlesung.,,
Profi,der,-s,noun,pro/professional,পেশাদার/প্রো,,,Er ist ein echter Profi in seinem Bereich.,,
Profisportler/Profisportlerin,der/die,-,noun,professional athlete,পেশাদার ক্রীড়াবিদ,,,Der Profisportler trainiert jeden Tag.,,
Programm,das,-e,noun,program/schedule,প্রোগ্রাম/কার্যক্রম,,,Was steht heute auf dem Programm?,,
Projekt,das,-e,noun,project,প্রকল্প,,,Wir arbeiten an einem neuen Projekt.,,
Prospekt,der/das,-e,noun,brochure/prospectus,ব্রোশিওর/পুস্তিকা,,,Kann ich einen Prospekt bekommen?,,
Prost,,,interjection,cheers,প্রস্ট/জয়,,,Prost! Auf deine Gesundheit!,,
protestieren,,,verb,to protest,প্রতিবাদ করা,protestiert,hat,Viele Menschen protestieren gegen die Entscheidung.,,
Protest,der,-e,noun,protest,প্রতিবাদ,,,Die Proteste wurden immer grösser.,,
Prozess,der,-e,noun,process/trial,প্রক্রিয়া/বিচার,,,Der Prozess dauert schon zwei Jahre.,,
prüfen,,,verb,to check/examine/test,পরীক্ষা করা/যাচাই করা,geprüft,hat,Der Lehrer prüft die Hausaufgaben.,,
Prüfung,die,-en,noun,exam/test,পরীক্ষা,,,Die Prüfung beginnt um 9 Uhr.,,
Publikum,das,-,noun,audience/public,দর্শক/শ্রোতা/জনসাধারণ,,,Das Publikum applaudierte laut.,,
Pullover,der,-,noun,pullover/sweater,সোয়েটার/পুলোভার,,,"Zieh einen Pullover an, es ist kalt.",,
Punkt,der,-e,noun,point/dot/period,বিন্দু/পয়েন্ট/মাত্রা,,,Der Punkt liegt auf dem i.,,
pünktlich,,,adj,punctual,সময়নিষ্ঠ/ঠিক সময়ে,,,Der Zug kommt pünktlich um 10 Uhr an.,,
Puppe,die,-n,noun,doll,পুতুল,,,Das Mädchen spielt mit ihrer Puppe.,,
putzen,,,verb,to clean/brush,পরিষ্কার করা/মাজা,geputzt,hat,Ich muss noch die Fenster putzen.,,
