Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
sich umziehen,,,verb,to change clothes / get changed,জামাকাপড় বদলানো,umgezogen,hat,"Bevor wir zur Party gehen, moechte ich mich umziehen.",,
un-,,,prefix,un- / in- / not (prefix),অ- / না- (উপসর্গ),,,Der Verkaeufer war sehr unfreundlich.,,
unbedingt,,,adv,absolutely / definitely / without fail,অবশ্যই / নিশ্চিতভাবেই,,,Ich muss unbedingt mit dir sprechen.,,
und,,,conjunction,and,এবং / আর,,,Ich habe heute und morgen frei.,,
Unfall,der,¨-e,noun,accident,দুর্ঘটনা,,,Ich hatte letzte Woche einen Unfall.,,
ungefaehr,,,adv,approximately / roughly / about,প্রায় / আনুমানিক,,,Wie weit ist es bis zum Bahnhof? – Ungefaehr zehn Minuten zu Fuss.,,
ungewoehnlich,,,adj,unusual / uncommon,অস্বাভাবিক / অসাধারণ,,,"Ich finde diese Speise ungewoehnlich, aber sie schmeckt gut.",,
unglaublich,,,adj,unbelievable / incredible,অবিশ্বাস্য,,,Es ist unglaublich. Schon wieder so ein Unglueck.,,
Unglueck,das,-e,noun,misfortune / accident / disaster,দুর্ভাগ্য / দুর্ঘটনা,,,Bei dem Unglueck gab es viele Verletzte.,,
unheimlich,,,adj,eerie / creepy / uncanny / extremely,ভুতুড়ে / গা ছমছমে / খুবই,,,Ich mag dieses Haus nicht. Es sieht unheimlich aus.,,
Uniform,die,-en,noun,uniform,ইউনিফর্ম / পোশাক,,,"In der Schule, die sie besucht, traegt man Uniformen.",,
Universitaet,die,-en,noun,university,বিশ্ববিদ্যালয়,,,Mein Sohn studiert an der Universitaet.,,
unten,,,adv,down / below / downstairs,নিচে / নিচের দিকে,,,"Wir wohnen im 3. Stock, meine Eltern unten im 1. Stock.",,
unter,,,preposition,under / below / among,নিচে / অধীনে / মধ্যে,,,Unter uns wohnt eine Familie mit drei Kindern.,,
unter-,,,prefix,under- / lower- / sub-,নিচের- / অধীন- (উপসর্গ),,,Mein Pass ist im unteren Regal.,,
unterbrechen,,,verb,to interrupt,বাধা দেওয়া / থামানো,unterbrochen,hat,Wir unterbrechen die Sendung fuer eine wichtige Nachricht.,,
sich unterhalten,,,verb,to talk / chat / enjoy oneself,গল্প করা / কথাবার্তা বলা / মজা করা,unterhalten,hat,Wir haben uns ueber das Fussballspiel unterhalten.,,
Unterhaltung,die,-en,noun,entertainment / conversation,বিনোদন / কথোপকথন,,,Wir wuenschen Ihnen gute Unterhaltung.,,
Unterkunft,die,¨-e,noun,accommodation / lodging,থাকার জায়গা / আবাসন,,,Ich suche eine guenstige Unterkunft.,,
Unterlagen,,(Pl.),noun,documents / paperwork / records,নথিপত্র / কাগজপত্র,,,Ich schicke Ihnen alle Unterlagen mit der Post zu.,,
unterlassen,,,verb,to refrain from / omit / cease,বিরত থাকা / ছেড়ে দেওয়া,unterlassen,hat,Das Rauchen auf den Gaengen ist zu unterlassen.,,
unternehmen,,,verb,to undertake / do (an activity),করা / কিছু করা (কাজ),unternommen,hat,Wollen wir heute Abend noch etwas unternehmen?,,
Unternehmer,der,-,noun,entrepreneur (male),উদ্যোক্তা (পুরুষ),,,Sie ist erfolgreiche Unternehmerin.,,
Unternehmerin,die,-nen,noun,entrepreneur (female),উদ্যোক্তা (মহিলা),,,Sie ist erfolgreiche Unternehmerin.,,
unterrichten,,,verb,to teach / instruct,পড়ানো / শিক্ষা দেওয়া,unterrichtet,hat,Meine Frau unterrichtet Spanisch.,,
Unterricht,der,,noun,class / lesson / instruction,ক্লাস / পাঠদান / শিক্ষাদান,,,Der Unterricht dauert von 17 bis 19 Uhr.,,
untersagt,,,adj,prohibited / forbidden,নিষিদ্ধ,,,"Es ist untersagt, hier zu rauchen.",,
unterscheiden,,,verb,to distinguish / differentiate,পার্থক্য করা / আলাদা করে চেনা,unterschieden,hat,Auf dem Foto kann man euch beide nicht unterscheiden.,,
Unterschied,der,-e,noun,difference,পার্থক্য / তফাৎ,,,"Koennen Sie mir sagen, was der Unterschied ist?",,
unterschiedlich,,,adj,different / varying / diverse,বিভিন্ন / ভিন্ন রকমের,,,Mein Bruder und ich sind sehr unterschiedlich.,,
unterschreiben,,,verb,to sign,স্বাক্ষর করা / দস্তখত করা,unterschrieben,hat,Unterschreiben Sie bitte hier unten rechts.,,
Unterschrift,die,-en,noun,signature,স্বাক্ষর / দস্তখত,,,Auf dem Schreiben fehlt die Unterschrift.,,
unterstreichen,,,verb,to underline / emphasize,নিচে দাগ দেওয়া / জোর দেওয়া,unterstrichen,hat,Wir sollen alle wichtigen Woerter unterstreichen.,,
unterstuetzen,,,verb,to support / assist,সমর্থন করা / সাহায্য করা,unterstuetzt,hat,"Sie unterstuetzen mich, wo sie nur koennen.",,
Unterstuetzung,die,-en,noun,support / assistance / aid,সমর্থন / সাহায্য,,,Ich nehme Ihre Unterstuetzung gern an.,,
untersuchen,,,verb,to examine / investigate,পরীক্ষা করা / তদন্ত করা,untersucht,hat,Sie sollten sich vom Arzt untersuchen lassen.,,
Untersuchung,die,-en,noun,examination / investigation / checkup,পরীক্ষা / তদন্ত / চেকআপ,,,Ich habe morgen eine Untersuchung im Krankenhaus.,,
unterwegs,,,adv,on the way / en route / out and about,পথে / রাস্তায়,,,Warte auf mich. Ich bin unterwegs und komme gleich.,,
Urkunde,die,-n,noun,certificate / document / deed,সার্টিফিকেট / সনদপত্র,,,"Wenn wir das Spiel gewinnen, bekommen wir eine Urkunde.",,
Urlaub,der,-e,noun,vacation / holiday / leave,ছুটি / অবকাশ,,,Ich habe noch drei Tage Urlaub.,"D/A: Urlaub, CH: Ferien",
Ursache,die,-n,noun,cause / reason,কারণ,,,Kennt man schon die Unfallursache?,,
verursachen,,,verb,to cause / bring about,কারণ হওয়া / ঘটানো,verursacht,hat,Dieser Busfahrer verursachte den Unfall.,,
urspruenglich,,,adj,original / originally / initially,মূলত / প্রথমদিকে,,,Urspruenglich wollte ich in einem Restaurant arbeiten.,,
Urteil,das,-e,noun,judgment / verdict / sentence / opinion,রায় / বিচার / মতামত,,,Dein Urteil ist fuer mich sehr wichtig.,,
