Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Fantasie,die,-n,noun,imagination/fantasy,কল্পনা,,,Kinder haben viel Fantasie.,,
fantastisch,,,adj,fantastic / wonderful,চমৎকার / অসাধারণ,,,Die Aussicht ist fantastisch!,,
Farbe,die,-n,noun,color / paint,রঙ / রং,,,Welche Farbe magst du am liebsten?,,
farbig,,,adj,colored / colorful,রঙিন,,,"Ich brauche kein weißes, sondern farbiges Papier.",,
Faschierte,das,,noun,ground meat (Austria),মাংসের কিমা (অস্ট্রিয়া),,,Geben Sie mir bitte 500 g Faschiertes.,"A: Faschiertes, D/CH: Hackfleisch",
Fasching,der,-,noun,carnival (Germany/Austria),কার্নিভাল (জার্মানি/অস্ট্রিয়া),,,Dort hängt mein Kostüm für den Faschings(um)zug.,"D/A: Fasching/Karneval, CH: Fasnacht",
Fasnacht,die,,noun,carnival (Switzerland),কার্নিভাল (সুইজারল্যান্ড),,,Dort hängt mein Kostüm für den Fasnachtsumzug.,"CH: Fasnacht, D/A: Fasching/Karneval",
fassen,,,verb,to grasp / seize / catch,ধরা / বোঝা / গ্রহণ করা,gefasst,hat,Sie haben den Dieb gefasst.,,
fast,,,adv,almost / nearly,প্রায় / প্রায়ই,,,Das Konzert ist fast zu Ende.,,
faul,,,adj,lazy / rotten,অলস / পচা,,,Mein Sohn war am Anfang in der Schule sehr faul.,,
faulenzen,,,verb,to laze around / be idle,অলস সময় কাটানো / আরাম করা,gefaulenzt,hat,Am Wochenende können wir faulenzen.,,
Fauteuil,der,-s,noun,armchair (Austria/Switzerland),আরামকেদারা (অস্ট্রিয়া/সুইজারল্যান্ড),,,Ich hätte gern einen bequemen Fauteuil.,"A/CH: Fauteuil, D/CH: Sessel",
fehlen,,,verb,to be missing / absent / lacking,অনুপস্থিত থাকা / অভাব হওয়া,gefehlt,hat,Auf dem Brief fehlt der Absender.,,
Fehler,der,-,noun,mistake / error / fault,ভুল / ত্রুটি,,,"Ich glaube, da haben Sie einen Fehler gemacht.",,
Feier,die,-n,noun,celebration / party,উদযাপন / অনুষ্ঠান,,,Es war eine schöne Feier.,,
Feierabend,der,,noun,end of work / closing time,কাজ শেষ / ছুটির সময়,,,Einen schönen Feierabend.,,
feiern,,,verb,to celebrate,উদযাপন করা,gefeiert,hat,Wir haben gestern Karls Geburtstag gefeiert.,,
Feiertag,der,-e,noun,holiday / public holiday,ছুটির দিন / উৎসবের দিন,,,Am Montag ist Feiertag.,,
Feld,das,-er,noun,field,ক্ষেত্র / মাঠ,,,Auf diesem Feld wächst Gemüse.,,
Fenster,das,-,noun,window,জানালা,,,Darf ich einen Moment das Fenster aufmachen?,,
fentlicht,,,verb,,,,,,,
Ferien,die,,noun,holidays / vacation (pl.),ছুটি / অবকাশ,,,Ich habe noch drei Tage Ferien.,"CH: Ferien, D/A: Urlaub",
Fernbedienung,die,-en,noun,remote control,রিমোট কন্ট্রোল,,,Hast du die Fernbedienung gesehen?,,
Fernsehen,das,,noun,television / TV,টেলিভিশন / টিভি,,,Was gibt es heute Abend im Fernsehen?,,
Fernseher,der,-,noun,TV set,টেলিভিশন সেট,,,Der Fernseher ist schon wieder kaputt.,,
fertig,,,adj,ready / finished / done,প্রস্তুত / শেষ,,,Das Essen ist gleich fertig.,,
Fest,das,-e,noun,party / celebration / festival,উৎসব / পার্টি,,,"Wenn ich 18 werde, feiern wir ein großes Fest.",,
festhalten,,,verb,to hold on / to record,ধরে রাখা / লিপিবদ্ধ করা,festgehalten,hat,Halt dich gut fest.,,
festlegen,,,verb,to determine / set / fix,নির্ধারণ করা / স্থির করা,festgelegt,hat,Ich möchte mich noch nicht festlegen.,,
festnehmen,,,verb,to arrest,গ্রেপ্তার করা,festgenommen,hat,Die Polizei hat einen Mann festgenommen.,,
Festplatte,die,-n,noun,hard drive,হার্ড ড্রাইভ,,,Mein Computer hat eine große Festplatte.,,
festsetzen,,,verb,to set / fix / determine,নির্ধারণ করা / ধার্য করা,festgesetzt,hat,Die Schule hat den Termin für die Prüfung festgesetzt.,,
feststehen,,,verb,to be fixed / certain,স্থির থাকা / নিশ্চিত থাকা,festgestanden,ist,Der Termin steht seit Langem fest.,,
feststellen,,,verb,to determine / ascertain / notice,নির্ণয় করা / লক্ষ্য করা,festgestellt,hat,"Er hat festgestellt, dass der Absender des Briefes falsch war.",,
Fett,das,,noun,fat / grease,চর্বি / তেল,,,Man soll nicht so viel Fett essen.,,
feucht,,,adj,damp / moist / humid,স্যাঁতসেঁতে / ভেজা,,,Die Wäsche ist noch feucht.,,
Feuer,das,,noun,fire / lighter,আগুন / লাইটার,,,Der Schaden durch das Feuer war sehr groß.,,
Feuerwehr,die,-en,noun,fire department,ফায়ার সার্ভিস / দমকল,,,Schnell! Rufen Sie die Feuerwehr! Die Nummer ist: 112.,,
Feuerzeug,das,-e,noun,lighter (cigarette),লাইটার (সিগারেট),,,Ist das Feuerzeug neu?,,
Fieber,das,,noun,fever / temperature,জ্বর,,,Plötzlich habe ich hohes Fieber bekommen.,,
Figur,die,-en,noun,figure / shape / character,আকৃতি / চরিত্র / মূর্তি,,,Lars hat eine gute Figur.,,
Film,der,-e,noun,film / movie,চলচ্চিত্র / ফিল্ম,,,Den Film musst du dir unbedingt ansehen.,,
finanziell,,,adj,financial / financially,আর্থিক,,,Finanziell geht es meinem Neffen jetzt besser.,,
finanzieren,,,verb,to finance / fund,অর্থায়ন করা,finanziert,hat,"Ich weiß nicht, wie ich das Auto finanzieren soll.",,
finden,,,verb,to find / think,খুঁজে পাওয়া / মনে করা,gefunden,hat,Meine Tante hat eine gute Arbeit gefunden.,,
Finger,der,-,noun,finger,আঙুল / আঙ্গুল,,,Alessandro hat sich in den Finger geschnitten.,,
Firma,die,Firmen,noun,company / firm,কোম্পানি / প্রতিষ্ঠান,,,Seit wann arbeiten Sie bei dieser Firma?,,
flach,,,adj,flat / shallow,সমতল / অগভীর,,,Für die Arbeit brauche ich flache Schuhe.,,
Flasche,die,-n,noun,bottle,বোতল,,,Eine Flasche Bier bitte.,,
Fleck,der,-en,noun,stain / spot,দাগ / ছোপ,,,Du hast einen Fleck auf der Bluse.,,
Fleisch,das,,noun,meat / flesh,মাংস / গোশত,,,Fleisch mag ich nicht.,,
Fleischhauer,der,-,noun,"butcher (male, Austria)","কসাই (পুরুষ, অস্ট্রিয়া)",,,Dieser Fleischhauer macht sehr gute Wurst.,"A: Fleischhauer, D: Metzger",
Fleischhauerin,die,-nen,noun,"butcher (female, Austria)","কসাই (মহিলা, অস্ট্রিয়া)",,,,,
fleißig,,,adj,diligent / hardworking,পরিশ্রমী / অধ্যবসায়ী,,,Pamela ist wirklich fleißig. Sie macht immer ihre Hausaufgaben.,,
flexibel,,,adj,flexible,নমনীয় / ফ্লেক্সিবল,,,Meine Arbeitszeit ist flexibel.,,
fliegen,,,verb,to fly,উড়া / উড়ে যাওয়া,geflogen,ist,Der Vogel ist auf einen Baum geflogen.,,
fliehen,,,verb,to flee / escape,পালানো / পলায়ন করা,geflohen,ist,Der Einbrecher ist sofort geflohen.,,
fließen,,,verb,to flow / run,প্রবাহিত হওয়া / বয়ে যাওয়া,geflossen,ist,Dieser Fluss fließt in die Nordsee.,,
fließend,,,adj,flowing / fluent,প্রবাহমান / সাবলীল,,,Mein Kollege spricht fließend Deutsch.,,
Flohmarkt,der,¨-e,noun,flea market,ফ্লি মার্কেট / পুরনো জিনিসের বাজার,,,Diesen Hut habe ich am Flohmarkt gekauft.,,
Flucht,die,,noun,escape / flight,পলায়ন / পালানো,,,Der Einbrecher war schon auf der Flucht.,,
Flug,der,¨-e,noun,flight,উড়ান / ফ্লাইট,,,Ich habe den Flug für Sie gebucht.,,
Flughafen,der,¨-,noun,airport,বিমানবন্দর / এয়ারপোর্ট,,,Der Flughafen liegt 30 km außerhalb der Stadt.,,
Flugzeug,das,-e,noun,airplane / aircraft,বিমান / উড়োজাহাজ,,,Das Flugzeug ist gerade gelandet.,,
Flur,der,-e,noun,hallway / corridor,করিডোর / বারান্দা,,,Wir warten draußen im Flur.,,
Fluss,der,¨-e,noun,river,নদী,,,Wie heißt dieser Fluss?,,
Fläche,die,-n,noun,area / surface,ক্ষেত্রফল / পৃষ্ঠতল,,,Unsere Wohnung hat eine Wohnfläche von 100 m².,,
Flöte,die,-n,noun,flute,বাঁশি / বাঁশরী,,,Sie spielt sehr schön Flöte.,,
Flüssigkeit,die,-en,noun,liquid / fluid,তরল / তরল পদার্থ,,,Dieses Medikament mit viel Flüssigkeit einnehmen.,,
Folge,die,-n,noun,consequence / episode,পরিণাম / ফলাফল / পর্ব,,,Die Folgen des Unfalls waren schlimm.,,
folgen,,,verb,to follow,অনুসরণ করা / অনুসরণে চলা,gefolgt,ist,Es folgen die Nachrichten.,,
folgend,,,adj,following,নিম্নলিখিত / পরবর্তী,,,Mehr Informationen auf den folgenden Seiten.,,
fordern,,,verb,to demand / require,দাবি করা / চাওয়া,gefordert,hat,Die Arbeitnehmer fordern mehr Geld.,,
Forderung,die,-en,noun,demand / claim,দাবি,,,Alle Forderungen der Arbeitnehmer kann man in dieser E-Mail lesen.,,
Form,die,-en,noun,form / shape / mold,আকৃতি / রূপ / ছাঁচ,,,Diese Schuhe haben eine schöne Form.,,
Formular,das,-e,noun,form (document),ফর্ম / ফরম,,,Füllen Sie bitte dieses Formular aus.,,
Forschung,die,-en,noun,research,গবেষণা,,,Er arbeitet in der Forschung.,,
Fortbildung,die,-en,noun,further education / training,উচ্চতর প্রশিক্ষণ / আরও শিক্ষা,,,"Die Fortbildung, die ich machen will, ist sehr teuer.",,
Fortschritt,der,-e,noun,progress / advancement,অগ্রগতি / উন্নতি,,,Ich habe beim Deutschlernen große Fortschritte gemacht.,,
fortsetzen,,,verb,to continue / resume,চালিয়ে যাওয়া / আবার শুরু করা,fortgesetzt,hat,Wir setzen die Behandlung am nächsten Donnerstag um 11 Uhr fort.,,
Fortsetzung,die,-en,noun,continuation / sequel,ধারাবাহিকতা / পরবর্তী অংশ,,,Fortsetzung folgt.,,
Forum,das,Foren,noun,forum (internet forum),ফোরাম (ইন্টারনেট ফোরাম),,,Ich melde mich heute bei diesem Forum an.,,
Foto,das,-s,noun,,,,,,,
Fotoapparat,der,-e,noun,,,,,,,
Fotograf,der,-en,noun,,,,,,,
Fotografie,die,-n,noun,,,,,,,
fotografieren,,,verb,to photograph / take pictures,ছবি তোলা / ফটোগ্রাফ করা,fotografiert,hat,Ich fotografiere gern.,,
Frage,die,-n,noun,,,,,,,
Frau,die,-en,noun,,,,,,,
frech,,,,,,,,,,
frei,,,,,,,,,,
Freiheit,die,,noun,,,,,,,
freiwillig,,,adj,,,,,,,
Freizeit,die,,noun,,,,,Füllen Sie bitte dieses Formular aus.,,
fremd,,,,,,,,,,
Fremdsprache,die,-n,noun,foreign language,বিদেশি ভাষা,,,Ich spreche drei Fremdsprachen.,,
Freude,die,,noun,,,,,,,
Freund,der,-e,noun,,,,,,,
freundlich,,,adj,,,,,,,
Freundschaft,die,-en,noun,,,,,,,
frisch,,,adj,,,,,,,
Friseur,der,-e,noun,,,,,,,
Friseurin,die,-nen,noun,,,,,,,
Frist,die,-en,noun,,,,,,,
Frisur,die,-en,noun,,,,,,,
froh,,,,,,,,,,
Frucht,die,¨-e,noun,,,,,,,
fröhlich,,,adj,,,,,,,
früh,,,,,,,,Ich reise gern in fremde Länder.,,
Frühstück,das,,noun,,,,,,,
frühstücken,,,verb,,,,,,,
Fundbüro,das,-s,noun,,,,,,,
furchtbar,,,adj,,,,,,,
Fuß,der,¨-e,noun,,,,,,,
Fußball,der,¨-e,noun,,,,,,,
Fußgänger,der,-,noun,,,,,,,
Fußgängerin,die,-nen,noun,,,,,,,
Fußgängerzone,die,-n,noun,,,,,,,
Fähigkeit,die,-en,noun,ability / skill / capability,ক্ষমতা / দক্ষতা,,,"In seiner Position braucht man die Fähigkeit, andere zu überzeugen.",,
Fähre,die,-n,noun,ferry,ফেরি / খেয়া,,,Wir nehmen die Fähre über den Bodensee.,,
fällig,,,adj,due / payable,দেয় / পরিশোধযোগ্য,,,Die Rechnung ist Ende des Monats fällig.,,
fördern,,,verb,to promote / support / foster,উন্নীত করা / সমর্থন করা,gefördert,hat,Die Stadt fördert viele Sportprojekte.,,
Förderung,die,-en,noun,promotion / support / funding,উন্নয়ন / সহায়তা / অর্থায়ন,,,Für das Projekt bekommen wir eine Förderung von der Stadt.,,
Führerausweis,der,-e,noun,,,,,,,
Führerschein,der,-e,noun,,,,,,,
Führung,die,-en,noun,,,,,,,
für,,,,,,,,Wir sind eine halbe Stunde zu früh,,
