Word,Article,Plural,WordType,English,Bangla,Partizip_II,Auxiliary,Example_Sentence,Synonyms,Antonyms
Reifen,der,-,noun,tire / tyre,টায়ার,,,Ich muss einen neuen Reifen kaufen.,,
Reihe,die,-n,noun,row / line / series,সারি / লাইন / ধারা,,,Wir sitzen in der dritten Reihe.,,
Reihenfolge,die,-n,noun,order / sequence,ক্রম / ধারা,,,Bitte halten Sie die Reihenfolge ein.,,
rein,,,adj,pure / clean,খাঁটি / পরিষ্কার,,,Das ist reine Baumwolle.,,
reinigen,,,verb,to clean,পরিষ্কার করা,gereinigt,hat,Ich muss meine Schuhe reinigen.,,
Reinigung,die,-en,noun,cleaning / dry cleaner,পরিষ্কারকরণ / ড্রাই ক্লিনার,,,Ich bringe den Anzug in die Reinigung.,,
Reis,der,-e,noun,rice,চাল / ভাত,,,Iss deinen Reis auf!,,
reisen,,,verb,to travel,ভ্রমণ করা,gereist,ist,Ich reise im Sommer nach Spanien.,,
Reise,die,-n,noun,journey / trip,ভ্রমণ / সফর,,,Die Reise nach Berlin war sehr schön.,,
Reisebüro,das,-s,noun,travel agency,ভ্রমণ সংস্থা,,,Im Reisebüro habe ich eine Reise gebucht.,,
reiten,,,verb,to ride (a horse),ঘোড়ায় চড়া,geritten,ist,Sie reitet jeden Samstag.,,
Reklame,die,-n,noun,advertising / advertisement,বিজ্ঞাপন,,,Im Fernsehen kommt zu viel Reklame.,,
Rekord,der,-e,noun,record,রেকর্ড,,,Er hat einen neuen Weltrekord aufgestellt.,,
relativ,,,adj,relative / relatively,আপেক্ষিক / তুলনামূলকভাবে,,,Das ist relativ einfach zu erklären.,,
Religion,die,-en,noun,religion,ধর্ম,,,In Deutschland gibt es verschiedene Religionen.,,
rennen,,,verb,to run / race,দৌঁড়ানো / ছোটা,gerannt,ist,Er ist zum Bahnhof gerannt.,,
Rente,die,-n,noun,pension / retirement (D/CH),পেনশন (জার্মানি/সুইজারল্যান্ড),,,Mein Opa lebt von seiner Rente.,,
in Rente gehen,,,verb,to retire (D),অবসর নেওয়া (জার্মানি),in Rente gegangen,ist,Nächstes Jahr gehe ich in Rente.,,
Rentner,der,-,noun,retiree / pensioner (male),পেনশনভোগী (পুরুষ),,,Viele Rentner wohnen in dieser Stadt.,,
Rentnerin,die,-nen,noun,retiree / pensioner (female),পেনশনভোগী (মহিলা),,,Meine Nachbarin ist eine freundliche Rentnerin.,,
reparieren,,,verb,to repair / fix,মেরামত করা,repariert,hat,Kannst du mein Fahrrad reparieren?,,
Reparatur,die,-en,noun,repair,মেরামত,,,Die Reparatur des Autos hat viel gekostet.,,
Reportage,die,-n,noun,report / documentary,রিপোর্ট / ডকুমেন্টারি,,,Ich habe eine interessante Reportage im Fernsehen gesehen.,,
Reporter,der,-,noun,reporter (male),রিপোর্টার (পুরুষ),,,Der Reporter interviewte den Bürgermeister.,,
Reporterin,die,-nen,noun,reporter (female),রিপোর্টার (মহিলা),,,Die Reporterin arbeitet für eine große Zeitung.,,
reservieren,,,verb,to reserve / book,সংরক্ষণ করা / বুক করা,reserviert,hat,Ich habe einen Tisch für zwei Personen reserviert.,,
Reservierung,die,-en,noun,reservation,সংরক্ষণ / রিজার্ভেশন,,,Haben Sie eine Reservierung?,,
Respekt,der,-e,noun,respect,সম্মান / শ্রদ্ধা,,,Man sollte Respekt vor älteren Menschen haben.,,
Rest,der,-e,noun,rest / remainder,বাকি / অবশিষ্ট,,,Den Rest erledige ich morgen.,,
Restaurant,das,-s,noun,restaurant,রেস্টুরেন্ট,,,Wir essen heute Abend im Restaurant.,,
retten,,,verb,to save / rescue,বাঁচানো / উদ্ধার করা,gerettet,hat,Der Feuerwehrmann hat das Kind gerettet.,,
Rezept,das,-e,noun,prescription / recipe,প্রেসক্রিপশন / রেসিপি,,,Der Arzt hat mir ein Rezept ausgestellt.,,
Rezeption,die,-en,noun,reception desk,রিসেপশন ডেস্ক,,,Bitte melden Sie sich an der Rezeption.,,
Richter,der,-,noun,judge (male),বিচারক (পুরুষ),,,Der Richter hat das Urteil gesprochen.,,
Richterin,die,-nen,noun,judge (female),বিচারক (মহিলা),,,Die Richterin verlas das Urteil.,,
richtig,,,adj,correct / right / really,সঠিক / ঠিক / সত্যিই,,,Deine Antwort ist richtig.,,
Richtung,die,-en,noun,direction,দিক,,,In welche Richtung fahren wir?,,
riechen,,,verb,to smell,গন্ধ পাওয়া / শোঁকা,gerochen,hat,Die Blumen riechen sehr gut.,,
riesig,,,adj,huge / enormous,বিশাল / বিরাট,,,Das war ein riesiger Erfolg.,,
Rind,das,-er,noun,cattle / beef,গরু / গরুর মাংস,,,Wir essen heute Rindfleisch.,,
Ring,der,-e,noun,ring,আংটি / রিং,,,Sie trägt einen goldenen Ring.,,
Risiko,das,Risiken,noun,risk,ঝুঁকি / বিপদ,,,Das ist ein zu großes Risiko.,,
Rock,der,¨-e,noun,skirt,স্কার্ট,,,Sie trägt heute einen roten Rock.,,
roh,,,adj,raw,কাঁচা / অরন্ধিত,,,Ich esse gern rohes Gemüse.,,
Rohr,das,-e,noun,oven / pipe / tube (A),ওভেন / পাইপ (অস্ট্রিয়া),,,Backrohr: Das ist das österreichische Wort für Backofen.,Backrohr,
Rolle,die,-n,noun,role / roll,ভূমিকা / রোল,,,Welche Rolle spielst du in dem Theaterstück?,,
Roman,der,-e,noun,novel,উপন্যাস,,,Ich lese gerade einen spannenden Roman.,,
Rose,die,-n,noun,rose,গোলাপ,,,Er hat mir eine rote Rose geschenkt.,,
Rucksack,der,¨-e,noun,backpack / rucksack,ব্যাকপ্যাক,,,Ich packe meinen Rucksack für die Wanderung.,,
rück-,,,prefix,back- / return-,পিছনে / ফিরে (উপসর্গ),,,Die Rückfahrt dauert ungefähr drei Stunden.,,
Rückfahrt,die,-en,noun,return journey,ফেরার যাত্রা / প্রত্যাবর্তন যাত্রা,,,Auf der Rückfahrt hatten wir Stau.,,
Rückkehr,die,,noun,return / homecoming,প্রত্যাবর্তন / ফিরে আসা,,,Seine Rückkehr hat alle gefreut.,,
rückwärts,,,adv,backwards,পিছনের দিকে / বিপরীতে,,,"Fahr nicht rückwärts, da ist ein Hindernis!",,
Rücken,der,-,noun,back,পিঠ,,,Mir tut der Rücken weh.,,
Rücksicht,die,,noun,consideration / regard,বিবেচনা / খেয়াল / ভাবনা,,,Nimm Rücksicht auf andere!,,
Rüebli,das,-,noun,carrot (CH),গাজর (সুইজারল্যান্ড),,,In der Schweiz sagt man Rüebli zu Karotten.,"Karotte, Möhre",
rufen,,,verb,to call / shout,ডাকা / চিৎকার করা,gerufen,hat,Kannst du mich morgen früh um sieben rufen?,,
Rufnummer,die,-n,noun,phone number,ফোন নম্বর,,,Meine Rufnummer steht im Telefonbuch.,,
Ruhe,die,,noun,quiet / calm / rest,শান্তি / বিশ্রাম / নীরবতা,,,Ich möchte meine Ruhe haben.,,
ruhig,,,adj,quiet / calm,শান্ত / স্থির,,,Die Kinder waren heute sehr ruhig.,,
rund,,,adj,round / approximately / about,গোলাকার / প্রায় / মতো,,,Der Tisch ist rund.,,
Runde,die,-n,noun,round / lap,রাউন্ড / পর্ব,,,In der ersten Runde hat er gewonnen.,,
Rundfahrt,die,-en,noun,tour / sightseeing tour,ভ্রমণ / দর্শনীয় সফর,,,Wir haben eine Rundfahrt durch die Altstadt gemacht.,,
